label,c_value,blend_weight,ensemble_type,log_loss,brier_score,ece
hybrid_platt,0.02,0.45,ensemble,0.5676348932206793,0.19139752925886513,0.08685818703509231
hybrid_platt,0.05,0.6,ensemble,0.5679465350920169,0.19171553875939348,0.0948151366779126
ensemble_platt,0.2,1.0,ensemble,0.5704092510260402,0.19309642234972565,0.09537694587195807
regularized_platt,0.1,1.0,single,0.5708077576150405,0.19326748356449577,0.09666369319458346
hybrid_platt,0.02,0.6,single,0.5709723798631674,0.19284607165824275,0.09433171623959873
hybrid_platt,0.02,0.6,ensemble,0.5806487013547257,0.19662261619854982,0.10643867245986262
ensemble_platt,0.1,1.0,ensemble,0.5814014666390804,0.19742054328604755,0.11237364512005628
regularized_platt,0.05,1.0,single,0.5818425997167488,0.1976132844283116,0.11343417781991384
ensemble_platt,0.05,1.0,ensemble,0.5982227669270616,0.20449133677892475,0.1395969983201877
regularized_platt,0.02,1.0,single,0.6052822061001795,0.2076030838691161,0.14379678185390343
ensemble_platt,0.02,1.0,ensemble,0.6276065143324333,0.21783639254543205,0.16829558595652372
