label,mean_predicted_probability,fraction_positives
baseline_compact_c1.0_raw,0.6430898662450802,0.46153846153846156
baseline_compact_c1.0_raw,0.7446628807174535,0.7647058823529411
baseline_compact_c1.0_raw,0.8548105335634154,0.7692307692307693
baseline_compact_c1.0_raw,0.9580960737673003,1.0
baseline_compact_c1.0_temperature_scaled,0.05761524981684257,0.0
baseline_compact_c1.0_temperature_scaled,0.15624872037965024,0.125
baseline_compact_c1.0_temperature_scaled,0.25852104738102105,0.2857142857142857
baseline_compact_c1.0_temperature_scaled,0.3526531659942404,0.2631578947368421
baseline_compact_c1.0_temperature_scaled,0.4529745605478738,0.43478260869565216
baseline_compact_c1.0_temperature_scaled,0.5470254394521262,0.5652173913043478
baseline_compact_c1.0_temperature_scaled,0.6473468340057597,0.7368421052631579
baseline_compact_c1.0_temperature_scaled,0.7414789526189789,0.7142857142857143
baseline_compact_c1.0_temperature_scaled,0.84375127962035,0.875
baseline_compact_c1.0_temperature_scaled,0.9423847501831574,1.0
baseline_compact_c1.0_raw,0.052797187995915804,0.0
baseline_compact_c1.0_raw,0.16943676932594645,0.0
baseline_compact_c1.0_raw,0.24699817751110434,0.09090909090909091
baseline_compact_c1.0_raw,0.34884125912690317,0.22727272727272727
baseline_compact_c1.0_raw,0.4375679740728805,0.42105263157894735
baseline_compact_c1.0_raw,0.5624320259271197,0.5789473684210527
baseline_compact_c1.0_raw,0.6511587408730969,0.7727272727272727
baseline_compact_c1.0_raw,0.7530018224888959,0.9090909090909091
baseline_compact_c1.0_raw,0.8305632306740537,1.0
baseline_compact_c1.0_raw,0.9472028120040843,1.0
baseline_compact_c1.0_temperature_scaled,0.050762700813322,0.0
baseline_compact_c1.0_temperature_scaled,0.1392844928194043,0.0
baseline_compact_c1.0_temperature_scaled,0.26006584888022294,0.09090909090909091
baseline_compact_c1.0_temperature_scaled,0.35220285776429483,0.15789473684210525
baseline_compact_c1.0_temperature_scaled,0.44005321027850364,0.37037037037037035
baseline_compact_c1.0_temperature_scaled,0.5599467897214963,0.6296296296296297
baseline_compact_c1.0_temperature_scaled,0.6477971422357054,0.8421052631578947
baseline_compact_c1.0_temperature_scaled,0.7399341511197771,0.9090909090909091
baseline_compact_c1.0_temperature_scaled,0.8607155071805958,1.0
baseline_compact_c1.0_temperature_scaled,0.949237299186678,1.0
hybrid_minimal_c0.2_raw,0.056434727807587674,0.18181818181818182
hybrid_minimal_c0.2_raw,0.15168838736427087,0.14285714285714285
hybrid_minimal_c0.2_raw,0.25006484736199686,0.15384615384615385
